User;UserID;TweetId;LABEL;Is this a RT?;Is there an URL?;Has it been RT?;Has it been replied?;is it  a reply?;#ofREPLIES;#ofRT;#ofFollowers;#ofFollowings;#ofStatuses
LionelYEG;2858152724;727245491872784000;R;NO;NO;YES;YES;NO;1;10;13;25;60
khanimambobar;109988022;727245164834611000;NR;YES;YES;NO;NO;NO;0;0;50295;714;1959
Peter_S_Becks1;2391758079;727244434342040000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
LeysWorldAIMS;590794317;727244131639136000;NR;NO;YES;NO;NO;NO;0;0;1586;176;257
ZikaVirusNews;4579860622;727243760900276000;R;NO;YES;NO;NO;NO;0;0;1791;23;0
ZikaVirusNews;4579860622;727243758467584000;R;NO;YES;NO;NO;NO;0;0;1791;23;0
Peter_S_Becks1;2391758079;727243116755997000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
WWNortonLibrary;188830580;727242097804333000;R;YES;YES;NO;NO;NO;0;0;6911;1472;1986
Peter_S_Becks1;2391758079;727241830732055000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
MoCoSentinel;44393729;727241808678367000;NR;NO;YES;YES;NO;NO;0;1;3280;1186;718
Peter_S_Becks1;2391758079;727240712824168000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
WFUNA;34711527;727240014950716000;NR;YES;YES;YES;NO;NO;0;1;8536;10612;664
Peter_S_Becks1;2391758079;727239547298435000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
PrepareDE;173648677;727239346970059000;NR;YES;YES;NO;NO;NO;0;0;5422;361;68
ProsperityRx;2360364763;727238777333117000;NR;NO;YES;NO;NO;NO;0;0;820;18;29
Peter_S_Becks1;2391758079;727238099676324000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
KatieGBurke;165897365;727237677993628000;R;NO;YES;NO;NO;NO;0;0;2636;1454;769
Peter_S_Becks1;2391758079;727237533487223000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
Peter_S_Becks1;2391758079;727236752050668000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
YourAHI_org;39024769;727236356657701000;NR;NO;YES;NO;NO;NO;0;0;18031;3280;2516
revbuzz57;256113015;727236019125285000;R;NO;NO;NO;NO;NO;0;0;24017;454;543
Aikenprep1;3359589026;727235745597923000;NR;YES;YES;NO;NO;NO;0;0;411;73;61
GirlsGlobe;296690561;727235017315864000;NR;NO;YES;NO;NO;NO;0;0;31144;20197;2744
bigcountryhome;18703385;727234770111881000;R;YES;YES;NO;NO;NO;0;0;36674;7528;1996
pablorodas;52119056;727234755104743000;R;NO;YES;NO;NO;NO;0;0;4073;9589;10136
KTABTV;2363765797;727234752604860000;R;NO;YES;NO;NO;NO;0;0;16371;2880;312
KRBCnews;2353865167;727234752592278000;R;NO;YES;YES;NO;NO;0;1;11256;2058;285
KinolaiHealth;3041054075;727233700971172000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727233700191048000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727233699478037000;NR;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727233698181968000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727233697305350000;NR;NO;YES;NO;NO;NO;0;0;20356;5295;5572
desifoxx;38036708;727233305653948000;R;NO;NO;NO;NO;YES;0;0;8109;2119;2357
danipagano;54504058;727232839633277000;NR;YES;YES;NO;NO;NO;0;0;1481;180;81
pwghealth;3881421195;727232808284869000;NR;NO;YES;NO;NO;NO;0;0;134;842;37
jyeh29;23205414;727232195098743000;NR;YES;YES;NO;NO;NO;0;0;6356;410;500
SebastjanPirih;9818662;727231841799967000;R;YES;NO;NO;NO;NO;0;0;6825;2026;2124
Kimcassel;27086196;727231180886577000;NR;YES;YES;NO;NO;NO;0;0;678;29;69
TrumpOnAHill;711386385110999000;727229577081266000;R;NO;NO;NO;NO;NO;0;0;2867;174;150
DRXDesign;82457470;727229131033837000;R;YES;NO;NO;NO;NO;0;0;6943;119;356
praprotnix;95265565;727227549055635000;R;NO;NO;YES;NO;NO;0;2;13106;8632;1785
ZikaVirusNews;4579860622;727227225230070000;NR;NO;YES;NO;NO;NO;0;0;1791;23;0
aschirripa63;2460265962;727227163943027000;NR;YES;YES;NO;NO;NO;0;0;663;599;4040
AlejandroRecas;338641905;727226403024961000;NR;YES;YES;NO;NO;NO;0;0;1201;116;289
SteveG717;931602115;727226019451687000;NR;YES;YES;NO;NO;NO;0;0;5961;3156;1600
LarryMcHCSO;318144688;727225879458357000;NR;YES;YES;NO;NO;NO;0;0;16434;4190;2463
skylarw2010;853332218;727224997962351000;R;YES;NO;NO;NO;NO;0;0;11476;944;715
msdsalute;2827724028;727224947098132000;NR;NO;YES;YES;NO;NO;0;2;5889;17508;3623
CareFreeEnzymes;496094537;727224834955071000;R;NO;NO;NO;NO;YES;0;0;436;1478;3818
robinsnewswire;40173650;727224559062143000;R;NO;YES;NO;NO;NO;0;0;970127;23130;18954
JCPHS;285592230;727223231187419000;NR;YES;YES;NO;NO;NO;0;0;3001;181;311
johannawj80;2299848701;727222741632471000;NR;YES;YES;NO;NO;NO;0;0;472;15;51
universe2519;389841834;727222171039232000;NR;YES;YES;NO;NO;NO;0;0;26379;54772;60179
ArkhamIrwin;1408132639;727222117503259000;R;YES;NO;NO;NO;NO;0;0;52938;3778;1465
EnviroEdgeNews;171828737;727220790941352000;NR;NO;YES;NO;NO;NO;0;0;30178;2764;2473
EpiDoctor;332965020;727220673907667000;NR;YES;YES;NO;NO;NO;0;0;5082;1339;129
CallawayMD;109695598;727220137128915000;NR;YES;YES;NO;NO;NO;0;0;1462;84;295
EnviroEdgeNews;171828737;727219896627696000;NR;NO;YES;NO;NO;NO;0;0;30178;2764;2473
HablameLatiNo;463423924;727219892794102000;R;NO;YES;NO;NO;NO;0;0;7756;592;653
MosquitoMikeLLC;4719514574;727219012472443000;NR;NO;YES;NO;NO;NO;0;0;82;92;286
KinolaiHealth;3041054075;727217593157722000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727217592281109000;NR;NO;YES;NO;NO;NO;0;0;20356;5295;5572
jnkay;20530177;727217207999107000;NR;YES;YES;NO;NO;NO;0;0;10268;1323;280
mevers90;1702865540;727216765030293000;R;YES;YES;NO;NO;NO;0;0;66699;418;122
newacademic;23620605;727216481767940000;R;YES;YES;NO;NO;NO;0;0;101469;1943;2339
FAScientists;19939139;727216111859569000;R;NO;YES;YES;NO;NO;0;2;6175;11594;284
AmyNdong;3367853963;727214797591351000;NR;YES;YES;NO;NO;NO;0;0;7372;123;134
CAPenniman;2539652617;727214556020396000;NR;YES;YES;NO;NO;NO;0;0;5764;57;210
APHAMensHealth;569273414;727214311605723000;NR;NO;YES;NO;NO;NO;0;0;4546;420;360
roseegmiller;723944377530249000;727214062057087000;NR;YES;YES;NO;NO;NO;0;0;32;12;105
CareFreeEnzymes;496094537;727214014862922000;R;NO;NO;NO;NO;NO;0;0;436;1478;3818
JonathanColeMD;248978152;727213599668605000;NR;NO;YES;NO;NO;NO;0;0;3299;221;149
Tater_Tot71;970963932;727213409251422000;R;YES;NO;NO;NO;NO;0;0;6272;562;660
scuethics;29254967;727213401324307000;R;NO;NO;NO;NO;NO;0;0;6546;2356;2408
SEleopoulos;700860292834718000;727213213083918000;R;YES;YES;NO;NO;NO;0;0;2243;118;292
lundmarija;3066052485;727213205898981000;NR;NO;YES;NO;NO;NO;0;0;29360;539;382
Zika_News;4871353966;727212885462684000;R;NO;YES;YES;NO;NO;0;1;9516;4381;2532
shopperann68;2358490897;727212766193312000;R;YES;NO;NO;NO;NO;0;0;18225;1155;1678
CareFreeEnzymes;496094537;727212362974024000;R;NO;NO;YES;NO;NO;0;1;436;1478;3818
MindOfMo;30833130;727212093288534000;R;NO;NO;NO;NO;NO;0;0;73560;635;19
BetterWorldOrg;59179684;727211799368634000;NR;NO;YES;NO;NO;NO;0;0;9414;6037;2370
NutriGreenTulsa;460721808;727211602517308000;R;NO;YES;NO;NO;NO;0;0;669;121;48
hector007_i;2273110504;727211308949594000;NR;YES;YES;NO;NO;NO;0;0;3820;344;1060
